1210,25,2.3,24,Out-of-State,10,History,69,Considering,0
1030,20,3.5,36,Out-of-State,10,Design,58,Accepted,1
1170,24,3.9,40,Out-of-State,10,History,69,Accepted,1
990,19,3.3,34,Out-of-State,10,Interdisciplinary Studies,70,Considering,0
1210,25,3.8,39,Out-of-State,10,Architecture,51,Accepted,1
1310,28,3.7,38,Out-of-State,10,Business and Management,54,Accepted,1
920,17,3.6,37,Out-of-State,10,Health Professions,68,Considering,0
1350,29,3.9,40,In-State,9,Engineering,61,Accepted,1
1240,26,3.1,32,Out-of-State,10,History,69,Considering,0
1350,29,3.8,39,Out-of-State,10,History,69,Accepted,1
1380,30,3.7,38,Out-of-State,10,Health Professions,68,Considering,1
920,17,3,31,Out-of-State,10,English,62,Considering,0
770,13,3.2,33,Out-of-State,10,English,62,Considering,0
1210,25,3.5,36,Out-of-State,10,Interdisciplinary Studies,70,Accepted,1
1130,23,3.9,40,In-State,9,Engineering,61,Accepted,1
1210,25,3.2,33,Out-of-State,10,Health Professions,68,Accepted,1
1400,31,3.6,37,Out-of-State,10,History,69,Considering,1
1030,20,4,42,Out-of-State,10,History,69,Accepted,1
1000,19,3.2,33,In-State,9,Business and Management,54,Accepted,1
1210,25,3.8,39,Out-of-State,10,Engineering,61,Considering,1
1100,22,4,42,Out-of-State,10,History,69,Accepted,1
1070,21,3.5,36,Out-of-State,10,History,69,Considering,0
1150,23,3.6,37,Out-of-State,10,Performing Arts,75,Considering,1
1050,20,2.8,29,Out-of-State,10,History,69,Considering,0
940,17,2.7,28,Out-of-State,10,Business and Management,54,Considering,0
1130,23,3.3,34,Out-of-State,10,Business and Management,54,Considering,0
1060,21,3,31,Out-of-State,10,History,69,Accepted,1
1310,28,3.3,34,Out-of-State,10,Biology,53,Accepted,1
1440,32,3.8,39,Out-of-State,10,Computer Science,57,Considering,1
880,16,3.2,33,In-State,9,History,69,Accepted,1
1210,25,3.5,36,Out-of-State,10,Performing Arts,75,Considering,1
1100,22,4,42,Out-of-State,10,History,69,Considering,0
1490,34,4,42,Out-of-State,10,Business and Management,54,Considering,1
1380,30,3.1,32,Out-of-State,10,History,69,Considering,0
920,17,3.5,36,In-State,9,Education,60,Considering,0
990,19,3.5,36,Out-of-State,10,History,69,Considering,0
1090,21,3.2,33,In-State,9,History,69,Accepted,1
1140,23,3.6,37,In-State,9,Trades and Personal Services,82,Accepted,1
1210,25,3.9,40,In-State,9,Health Professions,68,Accepted,1
1100,22,3.8,39,In-State,9,History,69,Considering,0
1250,26,3.9,40,Out-of-State,10,Health Professions,68,Accepted,1
1420,32,4,42,In-State,9,English,62,Accepted,1
1270,27,4,42,Out-of-State,10,Engineering,61,Considering,1
1240,26,2.7,28,Out-of-State,10,History,69,Considering,0
1030,20,2.9,30,Out-of-State,10,Education,60,Considering,0
1350,29,4,42,Out-of-State,10,Kinesiology and Physical Therapy,81,Accepted,1
880,16,2.8,29,Out-of-State,10,Health Professions,68,Considering,0
1240,26,3.9,40,Out-of-State,10,Engineering,61,Accepted,1
1090,21,3.8,39,Out-of-State,10,Engineering,61,Considering,0
940,17,2.7,28,Out-of-State,10,Psychology,79,Considering,0
1340,29,3.9,40,Out-of-State,10,History,69,Considering,1
1380,30,3.7,38,Out-of-State,10,History,69,Considering,1
1150,23,3.4,35,Out-of-State,10,Biology,53,Accepted,1
1000,19,3.4,35,Out-of-State,10,History,69,Considering,0
990,19,3.7,38,Out-of-State,10,Performing Arts,75,Accepted,1
1370,30,3.7,38,In-State,9,Legal Studies,71,Accepted,1
1210,25,3.5,36,Out-of-State,10,Health Professions,68,Considering,1
920,17,3,31,Out-of-State,10,Interdisciplinary Studies,70,Considering,0
1380,30,3.3,34,Out-of-State,10,Communications,56,Considering,0
1130,23,3.2,33,Out-of-State,10,Communications,56,Considering,0
990,19,4,42,In-State,9,Health Professions,68,Accepted,1
1130,23,3.5,36,In-State,9,Kinesiology and Physical Therapy,81,Accepted,1
1220,25,3.3,34,Out-of-State,10,Business and Management,54,Considering,0
950,17,3.5,36,Out-of-State,10,Business and Management,54,Considering,0
1010,19,3.8,39,Out-of-State,10,Engineering,61,Considering,0
880,16,2.9,30,Out-of-State,10,Health Professions,68,Considering,0
1030,20,2.4,25,Out-of-State,10,Business and Management,54,Considering,0
1310,28,3.2,33,Out-of-State,10,Communications,56,Considering,0
1370,30,3.6,37,In-State,9,Engineering,61,Accepted,1
1350,29,3.6,37,Out-of-State,10,Engineering,61,Accepted,1
1070,21,3.3,34,Out-of-State,10,Film and Photography,64,Considering,0
970,18,2.8,29,Out-of-State,10,Health Professions,68,Considering,0
1210,25,3.9,40,Out-of-State,10,Psychology,79,Considering,1
1490,34,4,42,Out-of-State,10,International Relations,83,Considering,1
1100,22,3.8,39,Out-of-State,10,Business and Management,54,Accepted,1
1210,25,3.3,34,Out-of-State,10,Business and Management,54,Accepted,1
1010,19,2.8,29,Out-of-State,10,Interdisciplinary Studies,70,Considering,0
1130,23,3.4,35,In-State,9,History,69,Accepted,1
1310,28,3.7,38,Out-of-State,10,Legal Studies,71,Considering,1
1120,22,3.8,39,Out-of-State,10,Kinesiology and Physical Therapy,81,Considering,0
730,13,3.4,35,In-State,9,History,69,Considering,0
960,18,3,31,Out-of-State,10,History,69,Rejected,0
1210,25,3,31,In-State,9,Business and Management,54,Accepted,1
1310,28,3.7,38,Out-of-State,10,Engineering,61,Accepted,1
860,15,3.8,39,Out-of-State,10,Kinesiology and Physical Therapy,81,Accepted,1
1060,21,2.8,29,Out-of-State,10,Foreign Languages,66,Accepted,1
950,17,3.3,34,In-State,9,Business and Management,54,Considering,0
1210,25,3.8,39,Out-of-State,10,Education,60,Considering,1
1030,20,3.8,39,Out-of-State,10,History,69,Considering,0
1380,30,3.8,39,In-State,9,Business and Management,54,Accepted,1
1100,22,3.6,37,In-State,9,Education,60,Considering,0
880,16,2.5,26,Out-of-State,10,Education,60,Considering,0
1380,30,4,42,Out-of-State,10,Engineering,61,Considering,1
