28,3.5,36,74
34,4,42,70
27,3.6,37,70
21,3.7,38,56
33,4,42,70
32,4,42,57
26,3.8,39,65
29,3.6,37,65
26,4,42,67
30,3,31,61
29,4,42,56
30,3.7,38,78
32,3.7,38,59
32,3.9,40,62
35,3,31,61
27,4,42,72
29,3.9,40,80
25,2.5,26,53
32,3.4,35,60
35,4,42,54
35,4,42,75
22,3.4,35,56
27,3.9,40,72
19,3.8,39,56
29,3.5,36,61
32,3.8,39,80
35,3.7,38,67
30,3.8,39,59
26,3.8,39,54
33,3.7,38,62
32,3.4,35,54
28,3.8,39,80
23,4,42,53
34,3.9,40,59
31,3.6,37,80
26,3.8,39,75
19,3.7,38,54
28,3.7,38,56
35,4,42,74
16,3.5,36,53
29,4,42,68
20,3.7,38,80
27,3.6,37,74
29,2.8,29,59
26,3.8,39,53
33,4,42,60
29,3.6,37,74
34,3.5,36,74
26,3.6,37,56
28,3.9,40,61
23,3.7,38,75
30,3.3,34,65
29,3.9,40,78
27,3.5,36,54
34,4,42,53
26,3.6,37,78
32,3.9,40,78
27,4,42,59
26,3.5,36,60
36,3.7,38,78
26,4,42,80
27,4,42,56
25,3.7,38,67
30,3.6,37,54
25,3.9,40,61
27,4,42,61
28,3.3,34,61
35,4,42,59
28,3.8,39,54
30,4,42,59
21,3.7,38,53
30,3.2,33,53
28,3.8,39,54
32,3.4,35,72
33,4,42,57
28,3.9,40,64
22,3.4,35,75
33,3.7,38,71
32,3.5,36,62
27,3.9,40,54
31,3.7,38,54
35,4,42,53
33,4,42,80
29,3.9,40,68
33,4,42,78
30,3.1,32,53
30,3.9,40,57
29,3.4,35,70
23,2.6,27,54
24,4,42,65
30,4,42,75
32,3.7,38,54
34,4,42,67
33,3.9,40,67
33,3.8,39,65
28,4,42,70
35,3.9,40,59
29,4,42,61
30,3.7,38,74
35,4,42,80
23,3.6,37,72
26,4,42,80
33,4,42,80
26,3.9,40,78
28,3.9,40,56
28,3.3,34,80
35,3.9,40,80
27,3.9,40,71
